codigo_a,codigo_b,establecimiento_a,establecimiento_b,score_nombre,score_direccion,mismo_telefono,misma_jornada,mismo_plan
12-10-0085-46,12-10-4919-46,COLEGIO EVANGELICO PRIVADO MIXTO BETHESDA,COLEGIO EVANGELICO PRIVADO MIXTO 'BETHESDA',97.6,100.0,False,True,True
12-10-0104-46,12-10-0105-46,COLEGIO TECNOLOGICO TEJUTLA,COLEGIO TECNOLOGICO TEJUTLA,100.0,72.0,True,True,True
12-10-4713-46,12-10-4919-46,COLEGIO EVANGELICO PRIVADO MIXTO BETHESDA,COLEGIO EVANGELICO PRIVADO MIXTO 'BETHESDA',97.6,95.5,False,True,True
06-02-0032-46,06-02-0469-46,INSTITUTO PARTICULAR MIXTO DE MERCADOTECNIA Y PUBLICIDAD DE SURORIENTE,INSTITUTO PARTICULAR MIXTO DE MERCADOTECNIA Y PUBLICIDAD DE SURORIENTE,100.0,100.0,True,True,True
06-02-0037-46,06-02-0079-46,"LICEO ""SAN ANTONIO""","LICEO ""SAN ANTONIO""",100.0,100.0,False,True,True
06-02-0084-46,06-02-0102-46,"INSTITUTO TECNOLOGICO PRIVADO DE SANTA ROSA ""CRISTO VIVE""","INSTITUTO TECNOLÓGICO PRIVADO DE SANTA ROSA ""CRISTO VIVE""",100.0,81.4,True,True,True
06-02-0085-46,06-02-1998-46,"INSTITUTO TECNOLOGICO PRIVADO DE SANTA ROSA ""CRISTO VIVE""","INSTITUTO TECNOLOGICO PRIVADO DE SANTA ROSA ""CRISTO VIVE""",100.0,98.0,True,True,True
06-02-0088-46,06-02-1941-46,COLEGIO MIXTO SAN JOSÉ,COLEGIO MIXTO SAN JOSE,100.0,84.7,True,True,True
06-08-0078-46,06-08-1840-46,INSTITUTO PARTICULAR MIXTO DE MERCADOTECNIA Y PUBLICIDAD DE SURORIENTE,INSTITUTO PARTICULAR MIXTO DE MERCADOTECNIA Y PUBLICIDAD DE SURORIENTE,100.0,100.0,True,True,True
06-08-0089-46,06-08-2040-46,COLEGIO TÉCNICO DE COMPUTACIÓN C.T.S.,COLEGIO TECNICO DE COMPUTACION 'C.T.S.',97.4,100.0,True,True,True
06-01-0103-46,06-01-1761-46,COLEGIO TECNOLOGICO BILINGUE EL HERMANO PEDRO,COLEGIO TECNOLOGICO BILINGUE EL HERMANO PEDRO,100.0,100.0,True,True,True
06-01-0108-46,06-01-0109-46,COLEGIO PARTICULAR MIXTO BILINGÜE SANTA FAMILIA,COLEGIO PARTICULAR MIXTO BILINGÜE SANTA FAMILIA,100.0,100.0,True,True,True
06-01-0127-46,06-01-0128-46,INED INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,100.0,48.8,True,True,True
06-14-0450-46,06-14-1830-46,CENTRO EDUCATIVO NUESTRA SEÑORA DE LA ESPERANZA,CENTRO EDUCATIVO NUESTRA SEÑORA DE LA ESPERANZA,100.0,98.5,False,True,True
06-06-0023-46,06-06-1797-46,"COLEGIO PARTICULAR MIXTO BILINGÜE ""VILLA REAL""",COLEGIO PARTICULAR MIXTO BILINGUE 'VILLA REAL',95.7,32.7,True,True,True
06-06-0028-46,06-06-0029-46,"COLEGIO PARTICULAR MIXTO BILINGÜE ""VILLA REAL""","COLEGIO PARTICULAR MIXTO BILINGÜE ""VILLA REAL""",100.0,100.0,True,True,True
